CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0031/2021,,02/12/2021,02/12/2022,12,PROCON - 09.0301,708.228.964-27 - ANA BEATRIZ DA ROCHA ARAÚJO,CESSÃO DE ESTÁGIO CURRICULAR,"9.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0041/2021,15.000.000515.2021,02/12/2021,02/04/2022,4,PM/PB - 15.0001,31.332.593/0001-17 - IDSET SERVIÇOS E CONSTRUÇÕES EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"60.280,50",4.316 CONTRATOS,"7.765.015.650,79"
0074/2021,,01/12/2021,01/12/2022,12,SUDEMA - 34.0101,105.700.134-10 - FRANCISCO DE ASSIS JUSTINO DE LIMA,CESSÃO DE ESTÁGIO CURRICULAR,"8.136,00",4.316 CONTRATOS,"7.765.015.650,79"
0075/2021,31.205.00063.2020,01/12/2021,01/07/2022,7,SUDEMA - 34.0101,22.684.967/0001-72 - ECONSULT ENVIRONMENTAL CONSULTING LTDA,SERVIÇO ESPECIALIZADO,"59.900,00",4.316 CONTRATOS,"7.765.015.650,79"
0082/2021,,01/12/2021,01/12/2022,12,SUDEMA - 34.0101,108.272.644-37 - LAIANE GERMANO DOS SANTOS,CESSÃO DE ESTÁGIO CURRICULAR,"8.136,00",4.316 CONTRATOS,"7.765.015.650,79"
0095/2021,31.202.000489.2020,01/12/2021,01/12/2023,24,SUPLAN - 31.0201,18.907.676/0001-29 - IDEAL CONSERVAÇÃO E LIMPEZA DE PRÉDIOS EIRELI,OUTROS SERVIÇOS ESPECIALIZADOS,"425.656,44",4.316 CONTRATOS,"7.765.015.650,79"
0100/2021,31.202.001213.2021,02/12/2021,25/07/2023,19,SUPLAN - 31.0201,41.203.514/0001-21 - CONSTRUTORA TORREÃO VILARIM LTDA.,OBRAS,"2.576.154,81",4.316 CONTRATOS,"7.765.015.650,79"
0311/2021,31.206.032246.2021,02/12/2021,02/12/2022,12,CAGEPA - 31.0601,29.843.035/0001-74 - SENTINELA DO VALE COMERCIAL EIRELI,MATERIAL DE USO ESPECÍFICO,"539.035,40",4.316 CONTRATOS,"7.765.015.650,79"
0006/2021,21.000.000901.2021 ,23/11/2021,20/02/2022,3,SETDE - 21.0001,12.386.380/0001-23 - JACARANDÁ MANUTENÇÃO E CONSTRUÇÃO DE ESPAÇOS VERDES LTDA-ME,OUTROS SERVIÇOS ESPECIALIZADOS,"120.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0015/2021,25.205.012027.2021,23/11/2021,23/05/2022,6,CHCF - 25.0501 ,20.182.641/0001-11 - ARS INSTALAÇÃO E MANUTENÇÃO LTDA,SERVIÇO ESPECIALIZADO,"183.600,00",4.316 CONTRATOS,"7.765.015.650,79"
0016/2021,23.901.000046.2021,26/11/2021,26/11/2023,24,FUNESBOM - 57.0001 ,35.499.946/0001-29 - TITO EMPREENDIMENTOS IMOBILIÁRIOS LTDA,LOCAÇÃO DE IMÓVEL URBANO,"323.927,04",4.316 CONTRATOS,"7.765.015.650,79"
0026/2021,15.000.000039.2021,25/11/2021,25/11/2026,60,PM/PB - 15.0001,23.484.444/0001-45 - 3F LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"8.990,00",4.316 CONTRATOS,"7.765.015.650,79"
0029/2021,,25/11/2021,25/11/2022,12,PROCON - 09.0301,095.119.014-86 - TERCINO MARCELINO DE OLIVEIRA NETO,CESSÃO DE ESTÁGIO CURRICULAR,"8.750,00",4.316 CONTRATOS,"7.765.015.650,79"
0030/2021,,25/11/2021,26/11/2023,24,PROCON - 09.0301,104.172.214-10 - WILLY DA NÓBREGA ROCHA,CESSÃO DE ESTÁGIO CURRICULAR,"17.750,00",4.316 CONTRATOS,"7.765.015.650,79"
0031/2021,15.000.000512.2021,29/11/2021,29/06/2022,7,PM/PB - 15.0001,07.870.719/0001-22 - EXA ENGENHARIA LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"487.775,89",4.316 CONTRATOS,"7.765.015.650,79"
0036/2021,15.000.000032.2021,25/11/2021,25/11/2023,24,PM/PB - 15.0001,09.366.790/0001-06 - EMPRESA PARAIBANA DE COMUNICACAO S/A EPC,SERVIÇOS,"100.300,00",4.316 CONTRATOS,"7.765.015.650,79"
0047/2021,,25/11/2021,01/09/2022,10,SEE - 22.0001,06.020.318/0001-10 - MAN LATIN AMERICA INDÚSTRIA E COMÉRCIO DE VEÍCULOS LTDA.,AQUISIÇÃO DE VEÍCULOS,"47.685.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0054/2021,26.000.001958.2021,26/11/2021,26/11/2023,24,SEDS - 26.0001,02.914.690/0001-10 - COPY LINE COMÉRCIO E SERVIÇOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"806.600,28",4.316 CONTRATOS,"7.765.015.650,79"
0054/2021,19.000.000.973.2021,25/11/2021,25/11/2022,12,FUNDAC - 27.0101,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"74.610,00",4.316 CONTRATOS,"7.765.015.650,79"
0060/2021,26.201.008232.2021,26/11/2021,26/05/2022,6,DETRAN - 26.0101,04.160.889/0001-25 - ROTHEMBERGER DO BRASIL LTDA.,AQUISIÇÃO DE BENS MÓVEIS,"258.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0096/2021,31.202.000975.2021,01/12/2021,23/08/2023,20,SUPLAN - 31.0201,01.945.326/0001-54 - CONSTRUTORA COSTA DO SOL EIRELI - EPP,OBRAS,"10.573.734,85",4.316 CONTRATOS,"7.765.015.650,79"
0097/2021,31.202.000489.2020,01/12/2021,01/12/2023,24,SUPLAN - 31.0201,28.594.543/0001-01 - GENESIS SERVIÇOS DE TERCEIRIZAÇÃO LTDA.,OUTROS SERVIÇOS ESPECIALIZADOS,"119.625,20",4.316 CONTRATOS,"7.765.015.650,79"
0098/2021,31.202.001076.2021,01/12/2021,10/01/2023,13,SUPLAN - 31.0201,25.175.320/0001-03 - L&M SERVIÇOS EIRELI,OBRAS,"31.747,90",4.316 CONTRATOS,"7.765.015.650,79"
0143/2021,25.215.000094.2021,29/11/2021,27/05/2022,6,HEETSHL - 25.1501,00.394.204/0001-54 - AMS PRODUTOS SERVIÇOS E EQUIPAMENTOS,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"162.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0296/2021,31.206.017004.2021,26/11/2021,19/09/2023,22,CAGEPA - 31.0601,15.367.556/0001-98 - NUNES INTERLIGAÇÕES LTDA - EPP,MATERIAL DE USO ESPECÍFICO,"645.744,00",4.316 CONTRATOS,"7.765.015.650,79"
0298/2021,31.206.030932.2020,26/11/2021,24/02/2022,3,CAGEPA - 31.0601,06.241.040/0001-01 - ATIVA SOLUÇÕES TECNOLÓGICAS INDÚSTRIAS E COMÉRCIO S.A.,MATERIAL DE USO ESPECÍFICO,"166.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0301/2021,31.206.018718.2020,25/11/2021,25/11/2022,12,CAGEPA - 31.0601,22.538.071/0001-85 - SANESOLUTI COMÉRCIO DE INSTRUMENTAÇÃO E CONTROLE LTDA – EPP,MATERIAL DE USO ESPECÍFICO,"446.570,00",4.316 CONTRATOS,"7.765.015.650,79"
0314/2021,31.206.008397.2021,30/11/2021,29/04/2022,5,CAGEPA - 31.0601,01.061.762/0001-60 - DELFINI INDÚSTRIA COMÉRCIO LTDA - EPP,MATERIAL PARA LABORATÓRIO E PESQUISA,"115.924,00",4.316 CONTRATOS,"7.765.015.650,79"
0013/2021,,22/11/2021,22/12/2022,13,PCOOPERAR - 28.0001,07.228.258/0001-99 - CAIENA DESENVOLVIMENTO DE SOFTWARE,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"50.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0016/2021,31.000.001884.2021,16/11/2021,26/11/2023,24,SEIRH - 31.0001,"04.068.728/0001-06 - CENTRO DE GESTÃO DE PESQUISA, DESENVOLVIMENTO E INOVAÇÃO - CGPDI",SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"1.142.768,00",4.316 CONTRATOS,"7.765.015.650,79"
0017/2021,31.000.101721.2021,16/11/2021,16/08/2023,21,SEIRH - 31.0001,02.735.064/0001-66 - HYDROGEO PROJETOS E SERVIÇOS EIRELI,AMPLIAÇÃO E CONSERVAÇÃO DE ESTAÇÃO DE TRATAMENTO DE ÁGUA,"1.186.295,04",4.316 CONTRATOS,"7.765.015.650,79"
0018/2021,200000.28735.2020,22/11/2021,21/11/2023,24,SEFAZ - 20.0001,08.705.015/0001-67 - WEIDER SEGURANÇA PRIVADA EIRELI-EPP,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"2.185.519,20",4.316 CONTRATOS,"7.765.015.650,79"
0019/2021,200000.28735.2020,22/11/2021,21/11/2023,24,SEFAZ - 20.0001,25.320.846/0001-30 -  DIGNA SEGURANÇA PRIVADA LTDA-EPP,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"352.699,20",4.316 CONTRATOS,"7.765.015.650,79"
0023/2021,32.000.800006.2021,22/11/2021,22/05/2022,6,SEDAP - 32.0001,40.938.508/0001-50 - MAQ-LAREM MÁQUINAS MÓVEIS E EQUIPAMENTOS LTDA,SERVIÇO ESPECIALIZADO,"55.615,00",4.316 CONTRATOS,"7.765.015.650,79"
0041/2021,19.000.029404.2019,17/11/2021,17/11/2023,24,SEE - 22.0001,18.905.384/0001-57 - OPTIMUS SEGURANÇA PRIVADA EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"2.754.082,56",4.316 CONTRATOS,"7.765.015.650,79"
0045/2021,190000294042019,18/11/2021,18/11/2023,24,SEE - 22.0001,04.008.185/0003-01 - INTERFORT SEGURANÇA DE VALORES LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"6.779.636,64",4.316 CONTRATOS,"7.765.015.650,79"
0049/2021,19.000.029968.2019,19/11/2021,31/12/2022,13,SEE - 22.0001,16.631.594/0001-79 - DROPS BUFFET E EVENTO EIRELI,EVENTOS,"2.107.980,00",4.316 CONTRATOS,"7.765.015.650,79"
0050/2021,24.000.002105.2021,16/11/2021,16/05/2022,6,SEAP - 24.0001,11.500.957/0001-13 - ALEXANDRE LAURENTINO  DA SILVA EIRELLI EPP,FORNECIMENTO E MANUTENÇÃO DE ÁGUA,"351.009,00",4.316 CONTRATOS,"7.765.015.650,79"
0051/2021,22.000.001886.2021,23/11/2021,29/12/2022,13,SEE - 22.0001,01.098.180/0001-59 - LUCIANO BEZERRA DA SILVA,AQUISIÇÃO DE BENS MÓVEIS,"831.360,00",4.316 CONTRATOS,"7.765.015.650,79"
0051/2021,24.000.002105.2021,16/11/2021,16/05/2022,6,SEAP - 24.0001,08.963.146/0001-44 - VERALUCIA ROCHA LIRA ELIAS ,FORNECIMENTO E MANUTENÇÃO DE ÁGUA,"381.955,00",4.316 CONTRATOS,"7.765.015.650,79"
0067/2021,,17/11/2021,25/04/2023,17,DOCAS - 31.0301,15.610.424/0001-45 - PLANFORTE CONSTRUÇÃO E PRESTADORA DE SERVIÇOS EIRELI- EPP,RECUPERAÇÃO E MANUTENÇÃO DE BENS IMÓVEIS,"3.967.776,88",4.316 CONTRATOS,"7.765.015.650,79"
0137/2021,25.215.000111.2021,23/11/2021,24/11/2023,24,HEETSHL - 25.1501,07.797.967/0001-95 - NP TECNOLOGIA E GESTÃO DE DADOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"118.500,00",4.316 CONTRATOS,"7.765.015.650,79"
0267/2021,,23/11/2021,24/11/2023,24,CAGEPA - 31.0601,"09.267.923/0001-89 - SANCCOL - SANEAMENTO, CONSTRUÇÕES E COMÉRCIO LTDA",AMPLIAÇÃO E CONSERVAÇÃO DE REDE DE ESGOTO SANITÁRIO,"45.673.246,46",4.316 CONTRATOS,"7.765.015.650,79"
0293/2021,31.206.023398.2021,22/11/2021,22/05/2022,6,CAGEPA - 31.0601,34.351.431/0001-14 - MIL COMERCIO DE MATERIAIS DE CONSTRUÇÃO EIRELI,MATERIAL DE USO ESPECÍFICO,"163.650,00",4.316 CONTRATOS,"7.765.015.650,79"
0349/2021,27.000.001788.2021,22/11/2021,22/05/2022,6,SEDH - 27.0001,00.360.305/0001-04 - CAIXA ECONÔMICA FEDERAL,SERVIÇO ESPECIALIZADO,"3.674.090,00",4.316 CONTRATOS,"7.765.015.650,79"
0399/2021,27.000.005009.2021,18/11/2021,18/05/2022,6,SEDH - 27.0001,08.540.403/0001-35 - GRÁFICA JB LTDA,SERVIÇO ESPECIALIZADO,"65.336,00",4.316 CONTRATOS,"7.765.015.650,79"
0556/2021,25.000.1204627.2021,17/11/2021,16/05/2022,6,SES - 25.0001,27.343.319/0001-76 - B3M CONSTRUTORA EIRELI-ME,RECUPERAÇÃO E MANUTENÇÃO DE BENS IMÓVEIS,"214.258,86",4.316 CONTRATOS,"7.765.015.650,79"
0562/2021,25.000.704564.2021,22/11/2021,22/11/2023,24,SES - 25.0001,07.400.977/0001-45 - PLANTEK SERVIÇOS LTDA,SERVIÇO ESPECIALIZADO,"91.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0029/2021,32.901.900034.2020,12/11/2021,18/03/2022,4,SEDAP - 32.0001,20.483.193/0001-96 - BRASIDAS EIRELI,MATERIAL PERMANENTE,"6.792,00",4.316 CONTRATOS,"7.765.015.650,79"
0042/2021,19.000.029404.2019,10/11/2021,10/11/2023,24,SEE - 22.0001,09.377.459/0001-83 - KAIROS SEGURANCA LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"63.680.067,84",4.316 CONTRATOS,"7.765.015.650,79"
0043/2021,19.000.029404.2019,14/11/2021,14/11/2023,24,SEE - 22.0001,08.705.015/0001-67 - WEIDER SEGURANÇA PRIVADA EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"5.748.840,00",4.316 CONTRATOS,"7.765.015.650,79"
0044/2021,019.000.029404.2019,10/11/2021,10/11/2022,12,SEE - 22.0001,23.370.473/0001-86 - GLAD SERVICOS DE SEGURANCA PRIVADA EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"957.971,52",4.316 CONTRATOS,"7.765.015.650,79"
0046/2021,,10/11/2021,16/11/2022,12,SEE - 22.0001,93.785.822/0001-06 - SAN MARINO ÔNIBUS LTDA,AQUISIÇÃO DE VEÍCULOS,"11.093.400,00",4.316 CONTRATOS,"7.765.015.650,79"
0051/2021,31.205.007354.2020,12/11/2021,12/06/2022,7,SUDEMA - 34.0101,09.150.575/0001-65 - AMBIENTAL DO BRASIL ESTUDOS E PROJETOS AMBIENTAIS LTDA,SERVIÇO ESPECIALIZADO,"105.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0051/2021,,12/11/2021,12/11/2022,12,SEDS - 26.0001,00.000.000/0000-00 - GLOCK AMERICA S.A.,ARMAMENTOS E EQUIPAMENTOS MILITARES,"1.861.550,60",4.316 CONTRATOS,"7.765.015.650,79"
0052/2021,24.000.002105.2021,16/11/2021,16/05/2022,6,SEAP - 24.0001,35.484.971/0001-39 - MODERNA LOCAÇÃO E EMPREENDIMENTOS LTDA EPP,FORNECIMENTO E MANUTENÇÃO DE ÁGUA,"49.210,00",4.316 CONTRATOS,"7.765.015.650,79"
0053/2021,19.000.050709.2021,16/11/2021,16/11/2022,12,SEAP - 24.0001,07.244.182/0001-95 - ÔNIX CARGO RIO LOGÍSTICA DE TRANSPORTE DE CARGA LTDA,SERVIÇO ESPECIALIZADO,"188.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0054/2021,19.000.006590.2020,16/11/2021,16/02/2022,3,CPAM - 25.0601,10.703.911/0001-39 - COOPER TRANSPORTES E LOCAÇÕES EIRELI,LOCAÇÃO DE VEÍCULOS,"47.656,00",4.316 CONTRATOS,"7.765.015.650,79"
0056/2021,26.201.015173.2021,16/11/2021,16/11/2023,24,DETRAN - 26.0101,70.131.974/0001-90 - ALEXANDRE CAROCA BORBOREMA ALVES,SERVIÇO ESPECIALIZADO,,4.316 CONTRATOS,"7.765.015.650,79"
0058/2021,,10/11/2021,10/11/2023,24,SUDEMA - 34.0101,079.458.716-07 - MARIA HELENA PEREIRA MATOS,CESSÃO DE ESTÁGIO CURRICULAR,"16.272,00",4.316 CONTRATOS,"7.765.015.650,79"
0059/2021,31.201.004563/2021,10/11/2021,06/07/2023,20,DER - 31.0101,25.165.699/0001-70 - CLPT CONSTRUTORA EIRELI EPP,OBRAS ESPECÍFICAS,"1.030.083,63",4.316 CONTRATOS,"7.765.015.650,79"
0062/2021,31.205.00065.2020,12/11/2021,12/06/2022,7,SUDEMA - 34.0101,22.684.967/0001-72 - ECONSULT ENVIRONMENTAL CONSULTING LTDA,SERVIÇO ESPECIALIZADO,"65.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0063/2021,31.205.00064.2020,12/11/2021,12/06/2022,7,SUDEMA - 34.0101,22.684.967/0001-72 - ECONSULT ENVIRONMENTAL CONSULTING LTDA,SERVIÇO ESPECIALIZADO,"65.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0092/2021,31.202.001536.2020,16/11/2021,16/11/2023,24,SUPLAN - 31.0201,02.715.056/0001-58 - ALERTA SEGURANÇA ELETRÔNICA EIRELI,VIGILÂNCIA DE BENS IMÓVEIS,"21.600,00",4.316 CONTRATOS,"7.765.015.650,79"
0112/2021,19.000.016372.2021,16/11/2021,15/11/2023,24,SEAD - 19.0001,09.189.499/0001-00 - COMPANHIA ESTADUAL DE PROCESSAMENTO DE DADOS DA PARAÍBA - CODATA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,,4.316 CONTRATOS,"7.765.015.650,79"
0135/2021,25.215.000093.2021,11/11/2021,09/05/2022,6,HEETSHL - 25.1501,09.502.112/0001-15 - ELENET SERVIÇOS TÉCNICOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"37.800,00",4.316 CONTRATOS,"7.765.015.650,79"
0359/2021,27.000.001370.2021,16/11/2021,16/05/2023,18,SEDH - 27.0001,02.168.943/0001-53 - FUNDAÇÃO DE EDUCAÇÃO TECNOLÓGICA E CULTURAL DA PARAÍBA - FUNETEC PB,SERVIÇO ESPECIALIZADO,"428.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0429/2021,27.000.002564.2021,12/11/2021,12/05/2022,6,SEDH - 27.0001,39.674.563/0001-09 - VIABILIZE SERVIÇOS DE ENGENHARIA E CONSTRUÇÃO LTDA,OBRAS,"88.561,89",4.316 CONTRATOS,"7.765.015.650,79"
0004/2021,255100230842021,05/11/2021,04/11/2023,24,FPGS 25.5101,09.189.499/0001-00 - CODATA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"81.984,00",4.316 CONTRATOS,"7.765.015.650,79"
0005/2021,19.000.010734.2019,09/11/2021,08/05/2022,6,AGEVISA - 25.0201 ,02.213.325/0002-69 - PLUGNET COMERCIO E REPRESENTAÇÕES LTDA,EQUIPAMENTOS E SOFTWARES DE INFORMÁTICA,"74.704,00",4.316 CONTRATOS,"7.765.015.650,79"
0006/2021,09.201.004074.2021,01/11/2021,31/10/2023,23,PBPREV - 09.0101,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAÍBA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"67.800,00",4.316 CONTRATOS,"7.765.015.650,79"
0010/2021,190000007512021,05/11/2021,05/11/2022,12,JUCEP - 21.0501,07.340.993/0001-90 - WEBTRIP AGENCIA DE VIAGENS E TURISMO EIRELI,PASSAGEM/FRETE/PORTE/ARMAZENAGEM E TRANSPORTE,"18.680,00",4.316 CONTRATOS,"7.765.015.650,79"
0014/2021,31.000.001194.2021,03/11/2021,03/06/2022,7,SEIRH - 31.0001,13.777.403/0001-93 - PJF ALMEIDA CONSTRUÇÕES E SERVIÇOS EIRELI-EPP,AMPLIAÇÃO E CONSERVAÇÃO DE RODOVIA,"871.524,70",4.316 CONTRATOS,"7.765.015.650,79"
0014/2021,19.204.000422.2021,29/10/2021,29/10/2023,24,CODATA - 19.0401,35.746.824/0001-90 - OPIX SERVIÇOS DE TECNOLOGIA EIRELI ME,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"3.197.592,72",4.316 CONTRATOS,"7.765.015.650,79"
0015/2021,31.000.10000956.2021,08/11/2021,08/12/2022,13,SEIRH - 31.0001,11.324.661/0001-99 - CONSTRUTORA POTIGUAR LTDA,AMPLIAÇÃO E CONSERVAÇÃO DE ESTAÇÃO DE TRATAMENTO DE ÁGUA,"1.915.421,92",4.316 CONTRATOS,"7.765.015.650,79"
0027/2021,25.234.000027.2021,05/11/2021,05/05/2022,6,LACEN 25.3701,30.532.560/0001-58 - RS SERVIÇOS DE LIMPEZA EM PRÉDIOS E DOMICÍLIOS EIRELI,SERVIÇOS,"324.601,99",4.316 CONTRATOS,"7.765.015.650,79"
0029/2021,29.204.000068.2021,04/11/2021,04/11/2023,24,EPC - 29.0401,08.806.838/0001-89 - AUTARQUIA ESPECIAL MUNICIPAL DE LIMPEZA URBANA - EMLUR,SERVIÇO ESPECIALIZADO,"65.420,64",4.316 CONTRATOS,"7.765.015.650,79"
0039/2021,29.204.000070.2021,02/11/2021,02/11/2023,24,EPC - 29.0401,23.370.473/0001-86 - GLAD SERVIÇO DE SEGURANÇA PRIVADA EIRELLI,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"1.512.448,96",4.316 CONTRATOS,"7.765.015.650,79"
0042/2021,19.000.004208.2020,03/11/2021,03/11/2022,12,IHGER - 15.0101,10.339.944/0001-41 - ZÊLO LOCAÇÃO DE MÃO DE OBRA - EIRELI,SERVIÇOS GERAIS,"4.719.395,76",4.316 CONTRATOS,"7.765.015.650,79"
0043/2021,19.000.037890.2019,03/11/2021,07/12/2023,25,SEMDH - 10.0001,02.030.078/0001-84 - EMPRESA PBF CARTÕES LTDA,SERVIÇO ESPECIALIZADO,"199.378,43",4.316 CONTRATOS,"7.765.015.650,79"
0050/2021,,08/11/2021,08/11/2023,24,SUDEMA - 34.0101,700.590.014-61 - WYSLLAYNE DE QUEIROZ DOS SANTOS,CESSÃO DE ESTÁGIO CURRICULAR,"16.272,00",4.316 CONTRATOS,"7.765.015.650,79"
0050/2021,222.000.008445.2021,03/11/2021,03/11/2022,12,SEE - 22.0001,40.432.544/0001-47 - CLARO S/A,SERVIÇO POSTAL E TELEMÁTICO,"12.616.970,64",4.316 CONTRATOS,"7.765.015.650,79"
0061/2021,,29/10/2021,28/10/2023,24,SUDEMA - 34.0101,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MÓVEIS E EQUIPAMENTOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"113.248,32",4.316 CONTRATOS,"7.765.015.650,79"
0087/2021,31.202.000969.2021,08/11/2021,01/02/2023,15,SUPLAN - 31.0201,70.108.204/0001-26 - EJS CONSTRUÇÕES LTDA EPP,OBRAS,"4.749.607,42",4.316 CONTRATOS,"7.765.015.650,79"
0273/2021,31.206.013302.2021,03/11/2021,03/01/2023,14,CAGEPA - 31.0601,04.880.181/0001-49 - AWKALAB PRODUTOS PARA LABORATORIOS LTDA-EPP,PRODUTOS QUÍMICOS,"247.432,00",4.316 CONTRATOS,"7.765.015.650,79"
0392/2021,27.000.001108.2020,29/10/2021,31/12/2022,14,SEDH - 27.0001,10.793.812/0001-95 - LS SERVIÇOS DE INFORMÁTICA E ELETRÔNICA LTDA,MATERIAL PERMANENTE,"54.719,25",4.316 CONTRATOS,"7.765.015.650,79"
0398/2021,27.000.004743.2021,05/11/2021,05/05/2022,6,SEDH - 27.0001,08.540.403/0001-35 - GRÁFICA JB LTDA,SERVIÇO ESPECIALIZADO,"165.660,00",4.316 CONTRATOS,"7.765.015.650,79"
0750/2021,22.204.012274.2021,01/11/2021,01/09/2022,10,UEPB - 35.0401,14.666.954/0001-42 - PONTUAL TRANSPORTE DE PASSAGEIROS LTDA,LOCAÇÃO DE VEÍCULOS,"23.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0002/2021,31.901.002469.2021,27/10/2021,27/10/2023,24,FEPAMA - 40.0001,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"599.950,00",4.316 CONTRATOS,"7.765.015.650,79"
0010/2021,19.204.000059.2021,25/10/2021,25/10/2023,24,CODATA - 19.0401,28.594.543/0001-01 - GÊNESIS SERVIÇOS DE TERCEIRIZAÇÃO LTDA,SERVIÇO DE LIMPEZA E CONSERVAÇÃO,"987.630,41",4.316 CONTRATOS,"7.765.015.650,79"
0013/2021,31.000.004126.2019,26/10/2021,30/06/2022,8,SEIRH - 31.0001,"19.897.723/0001-63 - CLM COMÉRCIO DE MÁQUINAS, LOCAÇÕES E TRANSPORTES - EIRELI",AQUISIÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"609.800,00",4.316 CONTRATOS,"7.765.015.650,79"
0016/2021,280000001252021,28/10/2021,28/04/2022,6,PCOOPERAR - 28.0001,10.673.116/0001-45 - HTV PRODUÇÕES EIRELLI,SERVIÇO ESPECIALIZADO NA ÁREA DE COMUNICAÇÃO,"385.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0023/2021,34.204.1362020.2021,27/10/2021,27/04/2024,30,PBGÁS - 34.0401,11.254.307/0001-35 - AUDIMEC AUDITORES INDEPENDENTES S/S,SERVIÇO ESPECIALIZADO,"38.000,00",4.316 CONTRATOS,"7.765.015.650,79"
0025/2021,15.000.000510.2021,28/10/2021,28/09/2022,11,PM/PB - 15.0001,28.099.674/0001-04 - CFR CONSTRUÇÕES E SERVIÇOS EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"113.913,91",4.316 CONTRATOS,"7.765.015.650,79"
0028/2021,34.204.1002021.2021,28/10/2021,28/10/2023,24,PBGÁS - 34.0401,24.560.161/0001-06 - C.T.G. CENTRO TECNOLOGIA EM GESTAO LTDA,SERVIÇO ESPECIALIZADO,"280.200,00",4.316 CONTRATOS,"7.765.015.650,79"
0034/2021,25.250.000353.2020,26/10/2021,26/10/2026,60,IASS - 25.5001,26.762.833/0001-83 - DESIREE LOISE SOUZA SANTOS BATISTA EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"149.969,28",4.316 CONTRATOS,"7.765.015.650,79"
0037/2021,29.204.000113.2021,27/10/2021,02/04/2022,6,EPC - 29.0401,23.889.067/0001-24 - COMERCIAL KR MATERIAIS GRÁFICOS LTDA - ME,MATERIAL DE USO ESPECÍFICO,"355.807,00",4.316 CONTRATOS,"7.765.015.650,79"
0239/2021,31.206.018718.2020,27/10/2021,27/10/2022,12,CAGEPA - 31.0601,21.581.509/0001-45 - ELSTER MEDIÇÃO DE ÁGUA LTDA,MATERIAL DE USO ESPECÍFICO,"7.187.040,00",4.316 CONTRATOS,"7.765.015.650,79"
0353/2021,19.000.029881.2020,27/10/2021,30/06/2022,8,SEDH - 27.0001,12.845.031/0001-22 - MARIA TEREZA PEREIRA CARVALHO,MATERIAL DE CONSUMO,"27.000,00",4.316 CONTRATOS,"7.765.015.650,79"
